review,cleaned_review
This product is amazing! I love it.,product amazing love
Worst experience ever! Customer service is horrible.,worst experience ever customer service horrible
"It's okay, but I expected better quality.",okay expected better quality
Super fast delivery and great packaging!,super fast delivery great packaging
Terrible quality. It broke within a day.,terrible quality broke within day
I would recommend this to everyone. Great product!,would recommend everyone great product
"Not worth the price, very disappointed.",worth price disappointed
"Average experience, nothing special.",average experience nothing special
Absolutely love this! Best purchase ever.,absolutely love best purchase ever
"Shipping was delayed, but the product is decent.",shipping delayed product decent
